System ID,Book Title,Author,Category,Subject,Price,MRP,Stock,ISBN No,Description,Published Year,Binding,Pages,Weight,is_bestseller,is_trending,is_new_arrival,is_featured
kHLDAdGJAqEqdSpIweZs,Matab-e-Amli Mashiul Mulk,Hkm. Ajmal Khan,Masters or P.G.,Undefined,240,300,10,TEMP-9790000001640,,,,,,,,,
yhezc1QL30Zqvq3GzeNk,Matabe Sharifi,Hkm. Habib Ashar,Masters or P.G.,Undefined,28,35,10,TEMP-9790000001657,,,,,,,,,
2y9oof8TuGgXN2slBci4,Meezan Ul Tibb,Hkm. Md. Akbar Arzani,Masters or P.G.,Undefined,160,200,10,TEMP-9790000001664,,,,,,,,,
P77qFrA20jLlOgWckQDt,Microbiology,Dr. Saba / Dr. Sana,2nd (Second) Prof.,Pathology (Mahiyat-ul-Amraz,120,150,10,9789390000000,,,,,,,,,
7JjxCPiav1Yw7jF79rAg,Miftahul Khazain,Hkm. Karim Bakash,Reference Books,Undefined,0,0,10,TEMP-9790000001671,,,,,,,,,
yGOWcKuocSqVYkyx5J6z,Minhaz Ul Saidla Wa Alkimia,Hkm. Rafeequddin / Dr. Mohd Saleem,2nd (Second) Prof.,Unani Pharmacy (Ilmul Saidla),240,300,10,TEMP-9790000001688,,,,,,,,,
j6QMvSZElgPlFYhP248m,Misbah-ul-Advia (Kulliyate Advia),Dr. Abdus Samad,2nd (Second) Prof.,Unani Pharmacology (Kulliyat-e-Advia),240,300,10,9789390000000,,,,,,,,,
TPFnY0iWtQl31odMnvZE,Misbahul Hikmat Vol.1-2,Hkm. Firoozuddin Lahori Lahori,Reference Books,Undefined,0,0,10,TEMP-9790000001695,,,,,,,,,
y5UsPDL6ZovGrZhNtrvu,Mizaj Ki Shanakht,Hkm. Abu Bakar Zikariya Razi,1st (First) Prof.,Undefined,240,300,10,9789390000000,,,,,,,,,
gD7aTFVpIy04VwFjQTYH,Moalijae Nafsiyaat,Dr. Jaleel Ahmad,3rd (Final) Prof.,Medicine (Moalijat),120,150,10,9788200000000,,,,,,,,,
upDfWZSSkNGhwdE7L4PG,Moalijat Amraz E Maida,Hkm. Imamuddin,3rd (Final) Prof.,Medicine (Moalijat),160,200,10,9789390000000,,,,,,,,,
zyJYrV8ZnXV6hLeSXErN,Moalijat Amraz Qalb Wa Ria,Dr. Md. Irfan,3rd (Final) Prof.,Medicine (Moalijat),116,145,10,TEMP-9790000001701,,,,,,,,,
nRiSFiE9cZyUVLkgwI7g,Moalijat Amraz Shaar,Dr. Abdul Nasir,3rd (Final) Prof.,Medicine (Moalijat),0,0,10,9789390000000,,,,,,,,,
ImHl7hR5tqAxgo52iaWa,Moalijat Amraze Nizame Hazam,Hkm. Abdul Mannan,3rd (Final) Prof.,Medicine (Moalijat),0,0,10,TEMP-9790000001718,,,,,,,,,
EYwO724bozUWwE9GUhue,Moalijat Amraze Nizame Tanaffus,Hkm. Abdul Mannan,3rd (Final) Prof.,Medicine (Moalijat),0,0,10,TEMP-9790000001725,,,,,,,,,
2VUUL56ARFYj8pJmEL11,Moalijat Jild,Dr. Zameer Ahmad,3rd (Final) Prof.,Skin Disorders & Cosmetology (Amraz-e-Jild wa Tazeeniyat),0,0,10,TEMP-9790000001732,,,,,,,,,
zRsvntvmbQxQAeYBVTzy,Moalijat Ke Maroozi Sawalat,Hkm. Syed Fazlur Rehman,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,240,300,10,9788200000000,,,,,,,,,
Lon3TWEskNaNMAcWjrh6,Moalijat Khasusi,Dr. Zameer Ahmad,Masters or P.G.,Undefined,0,0,10,TEMP-9790000001749,,,,,,,,,
kYWl6A5tMZbjCpMSFO6l,Moalijat Maida Wa Jigar,Hkm. Idress Habban,3rd (Final) Prof.,Medicine (Moalijat),200,250,10,9788190000000,,,,,,,,,
7hwlH601uiq4rqZ1W4I6,Moalijat MCQs,Dr. Saleem Akhtar,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,64,80,10,9789390000000,,,,,,,,,
C5X5nGsRwWy1HbeUS8ou,Moalijat Nabvi Vol.1-4,Hkm. Tariq Mehmood Chugtai,General,Undefined,3200,4000,10,TEMP-9790000001756,,,,,,,,,
yhX48tJODKuJ3X7U3y4c,Moalijat Nafeesi,"Allauddin Qarshi



Translation - Abid Hussain",Reference Books,Undefined,1600,2000,10,9788200000000,,,,,,,,,
BpYpD2NEnZ7Soynavkv1,Moalijat Nizame Hazam,Dr. Anwar,3rd (Final) Prof.,Medicine (Moalijat),0,0,10,TEMP-9790000001763,,,,,,,,,
M9maAect3JzkE0wV2cly,Moalijat Qalb Wa Dooran E Khoon,Mannan,3rd (Final) Prof.,Medicine (Moalijat),400,500,10,TEMP-9790000001770,,,,,,,,,
CYdP2kOfHnJ5sLZ1kH1v,Moalijat Shara Asbab,Hkm. Md. Kabiruddin,3rd (Final) Prof.,Medicine (Moalijat),800,1000,10,9789390000000,,,,,,,,,
